"Player","Pos","Squad","id","Age","Season","RATING","Sh/90","np:G-xG","Dist","xG","npxG/Sh","Cmp%","PrgDist","A-xAG","PrgP","Crs","SCA90","PassLive","TO","GCA90","Tkl%","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Succ%","44986","PrgR","Min%","Compl","onG","onGA","xG+/-90","CrdY","CrdR","Fls","Recov","Won%","def","mid","forw","Age^2"
"Jannik Vestergaard","defender","Leicester City","1900032e","28","2021","75","0.16","-0.1","4","0.1","0.12","88.9","2247","0","19","0","0.48","3","0","0","53.3","3","22","0","93","5","100","3","0","16.6","5","12","16","-0.34","2","0","4","32","56.5","1","0","0","784"
"Jason","midfielder","AlavГ©s","9038c2a1","27","2021","73","1.19","-0.9","21.4","0.9","0.1","51.4","872","-0.7","10","61","4.38","15","3","0.4","35","10","18","0","4","10","27.8","9","31","19.8","1","6","10","-0.43","1","0","13","37","36","0","1","0","729"
"Jean-Eudes Aholou","midfielder","Strasbourg","48b28bfd","27","2021","75","1.52","-0.9","21.2","1.9","0.11","82.3","1077","0.2","38","6","2.06","19","1","0.27","26.3","11","35","0","12","17","47.8","11","39","29.4","0","17","12","0.33","2","0","21","77","73.7","0","1","0","729"
"Jean-KГ©vin Augustin","forward","Nantes","97bfa797","24","2021","65","2.14","-0.1","18","0.1","0.06","78.6","3","0","0","0","1.07","0","0","0","0","0","1","0","0","3","0","0","7","2.5","0","1","1","-0.76","1","0","1","3","66.7","0","0","1","576"
"Jean-Philippe Gbamin","midfielder","Everton","6bd603db","25","2021","75","0","0","0","0","0","72.7","38","0","0","0","0","0","0","0","0","1","2","0","1","0","66.7","0","0","2","0","1","2","-0.15","0","0","0","4","100","0","1","0","625"
"Jean-Victor Makengo","midfielder","Udinese","22bfb57e","23","2021","72","1.23","-2","21.2","3","0.09","83.3","2658","0.8","95","8","2.26","45","5","0.23","51.7","22","49","0","29","37","73.6","51","61","68.7","13","40","36","0.06","7","1","27","150","29.4","0","1","0","529"
"Jeff Hendrick","midfielder","Newcastle Utd","989d5705","29","2021","71","1.25","0.9","28.1","0.1","0.09","93.1","43","0","0","0","1.23","1","0","0","100","0","1","0","1","1","0","0","1","2.1","0","1","3","-1.11","0","0","1","2","50","0","1","0","841"
"Jeffrey Gouweleeuw","defender","Augsburg","1025db8e","30","2021","75","0.38","-0.2","19.9","2","0.11","71.2","8374","-1.1","80","6","0.91","22","0","0.03","61.1","9","99","0","200","26","73.7","13","10","84.2","27","34","44","-0.61","9","0","32","188","47.8","1","0","0","900"
"Jeffrey Schlupp","midfielder","Crystal Palace","3312f911","28","2021","76","1.6","0.6","14.3","3.4","0.1","73.8","2386","-0.6","70","20","2.24","33","6","0.34","48","18","64","0","46","59","60.3","25","60","54.1","13","23","19","0.08","1","0","26","115","44.3","0","1","0","784"
"Jeison Murillo","defender","Celta Vigo","b233e8e4","29","2021","75","0.48","-0.5","15.8","0.5","0.08","88.8","4108","0","46","1","0.48","4","0","0","69.2","2","32","0","70","8","100","6","3","32.7","8","12","22","-0.34","5","1","13","61","48.4","1","0","0","841"
"Jens Stryger Larsen","defender","Udinese","f91e81c9","30","2021","75","1.18","-0.5","18.6","0.5","0.06","74.4","1281","0.2","16","20","2.11","11","1","0.13","66.7","2","9","0","19","10","36.4","9","20","20","2","7","12","-0.7","0","0","3","22","40","1","0","0","900"
"Jesse Lingard","forward","Manchester Utd","810e3c74","28","2021","78","1.96","1.4","18.6","0.6","0.08","83.7","382","-0.3","13","8","3.92","13","0","0.25","33.3","2","9","0","2","8","33.3","5","22","10.7","0","9","13","-0.67","1","0","5","19","0","0","0","1","784"
"JesГєs Navas","defender","Sevilla","3f10bd22","35","2021","83","0.5","-0.4","22.8","0.4","0.04","77.5","6116","-1.6","117","112","3.12","56","1","0.25","52.9","31","35","1","51","27","40","28","181","52.2","14","29","16","0.26","4","0","5","106","40.6","1","0","0","1225"
"Joachim Andersen","defender","Crystal Palace","e34fc66d","25","2021","77","0.25","-0.7","15.3","0.7","0.08","81.3","15836","1.3","100","8","1.02","30","0","0.12","59.3","11","67","3","425","32","77.8","5","4","85.3","31","44","37","0.14","4","0","19","152","53.8","1","0","0","625"
"JoaquГ­n","forward","Betis","4c5b14d2","40","2021","66","1.91","-2","14.1","2","0.2","77.4","926","-0.4","28","36","6.31","20","3","0.38","37.5","6","9","0","11","20","56.7","20","46","13.8","0","12","5","0.81","0","0","1","30","20","0","0","1","1600"
"JoaquГ­n Correa","forward","Inter","45b9b619","26","2021","80","3.07","1.4","13","4.6","0.13","81.4","879","-1.2","38","1","3.78","32","5","0.44","7.7","6","14","0","4","85","42.5","22","93","30","0","26","8","1.26","2","0","15","32","42.1","0","0","1","676"
"Joe Gomez","defender","Liverpool","7a11550b","24","2021","81","0.27","0","30.3","0","0.02","78.8","1139","0.2","36","19","1.9","6","0","0.54","55.6","3","15","0","4","6","50","10","29","9.7","3","7","3","1.82","2","0","5","19","62.5","1","0","0","576"
"Joel Ward","defender","Crystal Palace","8a7ff278","31","2021","74","0.36","-0.3","20.4","0.3","0.03","78.8","8364","-0.5","119","43","0.65","16","0","0.07","52.6","35","76","1","150","12","76.9","24","37","72.7","27","37","37","0.18","8","0","22","140","59.8","1","0","0","961"
"John Brooks","defender","Wolfsburg","e27da244","28","2021","77","0.38","0.3","14.6","0.7","0.06","83.1","11427","0.6","130","4","0.69","19","1","0","60","13","88","1","217","26","69.2","17","4","85.5","24","38","44","0.01","2","0","9","188","64.4","1","0","0","784"
"John Guidetti","forward","AlavГ©s","99bebd12","29","2021","71","3.23","-1","15.6","1","0.1","72","111","-0.2","3","4","3.55","5","2","0.65","0","3","2","0","0","15","66.7","3","21","8.2","0","3","7","-0.22","2","0","9","7","14.3","0","0","1","841"
"John Stones","defender","Manchester City","5eecec3d","27","2021","83","0.72","0.1","13.2","0.9","0.1","91","4754","-0.2","63","3","1.05","12","0","0.08","66.7","6","16","1","82","10","88.9","23","7","32.7","11","30","6","1.56","0","0","3","52","82.5","1","0","0","729"
"Jonas Hofmann","midfielder","M'Gladbach","2903a856","29","2021","81","2.34","3.9","16.3","8.1","0.15","76","4485","-1.6","95","138","6.19","84","5","0.52","40.5","36","42","0","21","93","47.7","31","161","67.9","18","37","48","0.29","1","0","23","112","21.1","0","1","0","841"
"Jonas Martin","midfielder","Rennes","468fdbad","31","2021","75","0.9","-0.2","20.3","1.2","0.06","90.4","7212","-0.3","132","3","1.63","32","0","0.17","35.8","19","57","1","56","22","72.7","16","14","61.5","12","52","25","0.58","8","0","32","147","57.1","0","1","0","961"
"Jonathan Bamba","midfielder","Lille","b2bd0f6c","25","2021","76","1.89","-2","19.9","3","0.06","75.4","4314","-1.7","116","115","3.3","47","9","0.26","36.1","37","51","0","16","80","33","63","200","71","10","31","31","0.29","3","0","11","169","45.7","0","1","0","625"
"Jonathan Schmid","defender","Freiburg","088ca1bd","31","2021","74","0.77","-0.2","22.1","0.2","0.03","78.2","1981","0.2","25","16","2.76","11","0","0.15","71.4","8","18","0","17","9","62.5","4","31","19.2","3","10","7","0.19","0","0","4","36","47.1","1","0","0","961"
"Jonathan Tah","defender","Leverkusen","bd142efb","25","2021","82","0.5","0.8","10.4","1.2","0.08","88.1","10985","0.1","102","2","0.72","20","0","0.09","51.5","8","68","0","291","24","76.2","10","6","94.1","29","76","45","0.53","4","0","19","184","76.8","1","0","0","625"
"Jonjo Shelvey","midfielder","Newcastle Utd","3727dd3c","29","2021","77","1.36","1.1","27.8","0.9","0.03","78.4","5306","0","84","43","1.95","33","1","0.05","41.2","10","52","2","56","3","75","12","7","58","19","28","30","-0.3","7","1","18","160","50","0","1","0","841"
"Jonjoe Kenny","defender","Everton","099e666f","24","2021","74","0.44","-0.2","23.7","0.2","0.04","73.4","2338","0.2","36","23","1.86","16","2","0.18","61.9","8","37","0","33","8","44.4","13","25","29.8","9","10","24","-0.83","3","1","9","58","45","1","0","0","576"
"Jonny Evans","defender","Leicester City","f8fcd2a5","33","2021","79","0.2","0.4","5.6","0.6","0.2","82.9","6172","0.2","49","3","0.67","8","0","0.13","63.6","3","44","0","154","12","66.7","3","4","39.4","12","27","23","-0.02","3","0","15","105","73.8","1","0","0","1089"
"Jordan Amavi","defender","Nice","22721b88","27","2021","74","0","0","0","0","0","84.3","1417","-0.1","28","6","1.31","4","0","0.22","58.8","5","31","0","11","0","55.6","11","21","12.1","1","9","3","1.35","1","0","2","29","52.6","1","0","0","729"
"Jordan Ayew","forward","Crystal Palace","da052c14","29","2021","75","1.56","-0.1","16.8","3.1","0.09","76.4","1509","0.2","51","74","2.72","41","2","0.27","54.8","30","62","0","15","67","47.9","49","151","59","10","31","31","0.07","2","0","38","132","35.6","0","0","1","841"
"Jordan Ferri","midfielder","Montpellier","375622c5","29","2021","77","0.43","-0.3","25.8","0.3","0.02","83.5","14656","-1.4","290","39","2.75","76","1","0.15","33.3","34","85","0","98","6","66","48","43","85.1","23","45","49","-0.35","13","1","49","300","33.3","0","1","0","841"
"Jordan Henderson","midfielder","Liverpool","935e6b8f","31","2021","83","1.07","0.5","24.5","1.5","0.05","84","8574","1.5","245","56","3.33","86","2","0.49","38.6","40","59","0","34","38","64","47","116","75.9","18","73","22","1.45","3","0","23","228","58.1","0","1","0","961"
"Jordan Torunarigha","defender","Hertha BSC","f86cabbd","23","2021","73","0.37","-0.3","8.7","0.3","0.13","81.2","1469","0.9","12","1","0.19","1","0","0.19","80","2","21","0","52","3","50","1","0","15.8","4","8","9","-0.4","1","0","4","27","75","1","0","0","529"
"Jordan Veretout","midfielder","Roma","4a56052c","28","2021","79","1.05","-0.1","22","4.6","0.11","84.4","6701","2.6","164","102","4.19","64","1","0.43","38.5","12","61","1","43","31","73.7","32","70","67.8","9","44","29","0.7","6","0","18","147","57.1","0","1","0","784"
"Jorginho","midfielder","Chelsea","45db685d","29","2021","85","0.36","-0.3","32.6","5.8","0.04","89.1","7227","-0.7","178","3","2.77","61","1","0.32","34.9","13","100","1","51","13","76.2","27","19","66.5","18","53","16","1.09","5","0","30","208","33.3","0","1","0","841"
"Joselu","forward","AlavГ©s","6265208f","31","2021","80","2.59","0.6","18.6","12.9","0.08","59.5","2171","-0.5","108","31","2.39","52","4","0.26","28","25","23","0","51","159","35.3","19","137","91.3","30","30","58","-0.43","0","0","43","87","68","0","0","1","961"
"Joshua Kimmich","midfielder","Bayern Munich","49296448","26","2021","89","0.98","0.7","24.7","2.3","0.09","83.9","13899","0.3","292","181","5.64","81","1","0.87","31","28","91","1","70","28","51.2","43","53","80.8","24","80","32","1.47","4","0","20","218","47.1","0","1","0","676"
"Joshua King","forward","Watford","43458538","29","2021","75","1.96","-4.1","15.2","8.9","0.17","71.1","1028","-0.8","39","13","2.52","51","2","0.36","23.5","11","27","0","41","105","44.8","25","157","65.7","20","23","47","-0.66","5","0","43","83","45.7","0","0","1","841"
"Josip Brekalo","midfielder","Torino","d4a2533d","23","2021","79","1.73","2.7","19.4","4.3","0.1","71.6","3308","-3.5","105","135","4.8","82","7","0.35","14.3","34","13","1","10","57","57.1","52","186","66.8","12","27","26","0.09","1","0","20","128","35.4","0","1","0","529"
"Josuha Guilavogui","forward","Bordeaux","e6c43eec","30","2021","75","0.61","-0.5","18.5","1.5","0.16","81.7","5141","0.2","76","6","2.1","27","0","0.27","48.3","7","75","0","55","12","61.5","10","23","38.9","14","18","38","-0.26","4","0","23","134","52","0","0","1","900"
"JosГ© CallejГіn","forward","Fiorentina","78841da9","34","2021","75","1.18","-0.8","14.8","1.8","0.11","78.3","1923","-0.4","71","62","3.25","32","1","0.28","41.9","6","18","1","4","41","53.8","17","105","38","3","21","24","0.02","0","0","3","72","30.8","0","0","1","1156"
"JosГ© MarГ­a GimГ©nez","defender","AtlГ©tico Madrid","f0da930c","26","2021","83","0.88","-0.7","13.5","1.7","0.09","88.3","5701","0.1","44","1","0.48","7","1","0.09","50","3","43","1","173","26","66.7","4","2","59.7","19","39","22","0.67","7","0","11","99","63.1","1","0","0","676"
"JoГЈo Cancelo","defender","Manchester City","bd6351cd","27","2021","88","2.26","-3","22","4","0.05","83.5","12620","1.6","357","124","3.51","98","8","0.5","50.5","59","142","1","67","101","52.8","129","270","94.4","35","88","25","1.59","7","0","34","217","52.8","1","0","0","729"
"JoГЈo Moutinho","midfielder","Wolves","f5a00fa4","34","2021","69","0.61","0.7","24.3","1.3","0.06","83.4","7578","-1.7","196","108","2.48","53","1","0.12","28.3","35","108","2","63","12","76.2","43","37","86.8","28","32","40","-0.49","4","0","36","254","39.5","0","1","0","1156"
"JoГЈo Pedro","forward","Cagliari","81255c03","29","2021","71","2.36","0.7","15.4","12.3","0.11","71","1590","0.9","66","14","2.44","59","4","0.19","22.2","16","23","1","22","148","47.2","27","198","97.2","35","32","67","-0.59","9","0","68","112","35.8","0","0","1","841"
"Juan Cuadrado","forward","Juventus","0ab1f153","33","2021","83","1.3","2.3","21.4","1.7","0.05","84.4","8619","-2.1","169","134","4.02","74","7","0.43","54.5","16","77","0","59","69","62.2","63","175","72.7","18","45","23","0.57","9","0","19","162","58.8","0","0","1","1089"
"Juanmi","forward","Betis","84399660","28","2021","79","2.32","4.9","14.2","11.1","0.2","78.3","1356","1.1","38","4","1.77","27","7","0.13","38.8","11","48","1","20","84","65.9","21","107","62.3","2","42","21","0.52","5","0","40","106","46.4","0","0","1","784"
"Jules KoundГ©","defender","Sevilla","4d1666ff","22","2021","84","0.43","0.9","12.5","1.1","0.09","88","12876","-1.3","168","18","1.41","35","4","0.1","64.3","10","61","2","323","49","61.5","41","35","80","28","45","25","0.11","2","2","15","199","61.1","1","0","0","484"
"Julian Brandt","midfielder","Dortmund","a167537f","25","2021","82","1.47","4.1","17.1","4.9","0.14","77.2","4257","3.4","126","128","4.2","60","7","0.95","31.5","22","61","1","24","50","58.5","50","171","67.9","8","63","33","0.76","3","0","12","129","38.5","0","1","0","625"
"Julian Draxler","forward","Paris S-G","1a992676","27","2021","79","1.48","0.5","15.4","1.5","0.16","89.9","769","-1.3","33","5","2.46","12","1","0.33","0","3","8","0","5","19","62.5","20","48","16","0","20","5","1.2","0","0","4","26","20","0","0","1","729"
"Junior Sambia","midfielder","Montpellier","24eb7ed6","24","2021","73","1.17","-0.6","23.4","1.6","0.08","76","3407","-0.7","52","50","2","20","4","0.18","59.1","7","43","0","58","20","56.5","41","108","44.8","7","23","28","-0.28","5","1","18","86","56.8","0","1","0","576"
"JГ©rГґme Roussillon","defender","Wolfsburg","13203c45","28","2021","76","0.61","0","23.8","1","0.08","73.5","4068","-1.6","64","50","1.77","29","2","0.05","62.5","19","28","2","57","22","56.6","24","91","58","8","25","24","0.09","5","0","10","97","59.1","1","0","0","784"
"JГіhann Berg GuГ°mundsson","midfielder","Burnley","f72293fc","30","2021","72","1.55","-1.6","19.9","1.6","0.08","61.3","687","0.5","16","44","1.88","16","1","0.16","25","17","28","0","20","22","63.6","20","75","32.2","5","10","19","-0.42","2","0","16","71","42.9","0","1","0","900"
"Kai Havertz","forward","Chelsea","fed7cb61","22","2021","84","2.79","-0.7","13","8.7","0.16","80.3","1194","0.8","62","8","3.03","46","3","0.3","28.6","23","21","1","34","128","42.9","23","203","52.9","11","44","18","0.74","3","0","40","62","42.2","0","0","1","484"
"Kalidou Koulibaly","defender","Napoli","da974c7b","30","2021","87","0.37","1.7","14.9","1.3","0.13","86.5","11180","-0.3","80","2","0.71","15","1","0.15","65.8","13","68","1","247","22","90.9","12","10","70.3","25","58","19","0.65","5","1","28","167","56.5","1","0","0","900"
"Karim Bellarabi","forward","Leverkusen","bee0bab1","31","2021","79","3.69","1","17.4","2","0.07","74.6","874","0.8","17","25","3.69","15","2","0.53","23.1","10","18","0","10","35","51.5","18","69","22.3","0","23","6","1.09","2","0","20","38","0","0","0","1","961"
"Karim Benzema","forward","Real Madrid","70d74ece","33","2021","91","4.06","4.9","16.2","23.7","0.13","83.8","3030","4.1","177","10","4.45","108","12","0.77","22.2","30","15","0","15","224","70.6","66","252","75.8","18","65","23","0.97","0","0","13","44","37.5","0","0","1","1089"
"Karim Onisiwo","forward","Mainz 05","f26834c7","29","2021","74","2.48","-3.2","13.6","8.2","0.13","58.7","1305","1.4","51","50","3.51","63","14","0.46","31.8","33","25","0","10","168","40.5","34","237","77.2","10","39","35","0.28","0","0","44","82","39.7","0","0","1","841"
"Karim Rekik","defender","Sevilla","3376a776","26","2021","77","0.33","-0.2","10.4","0.2","0.06","89.2","3731","1.6","30","6","1.31","14","0","0.16","22.2","4","20","0","60","13","62.5","9","13","32.1","9","19","8","0.2","2","0","16","65","51.1","1","0","0","676"
"Karol Linetty","midfielder","Torino","d023d70f","26","2021","74","1.31","-0.7","19.6","0.7","0.06","78.1","760","-1.5","22","8","3.32","26","1","0.2","33.3","11","17","0","3","25","55.6","14","37","26.2","2","10","9","0.3","2","0","30","42","34.6","0","1","0","676"
"Kelechi Iheanacho","forward","Leicester City","c92e1a31","24","2021","77","2.21","0.4","18","3.6","0.12","76.5","768","2.5","37","6","2.71","30","2","0.57","21.4","16","14","0","11","50","48.5","18","85","37","4","18","25","-0.54","1","0","17","42","29.6","0","0","1","576"
"Kerem Demirbay","midfielder","Leverkusen","54b4dc4e","28","2021","81","1.58","-1.8","25.4","3.3","0.05","75.7","7644","0.2","142","152","3.12","30","2","0.44","39","21","85","0","73","34","66.7","35","47","67","12","46","29","0.4","10","0","34","158","36.7","0","1","0","784"
"Kevin Akpoguma","midfielder","Hoffenheim","6ec6fde0","26","2021","75","0.71","0.8","12.8","1.2","0.1","75.4","4667","-0.6","87","31","1.89","23","3","0.12","57.1","24","53","2","54","34","44.7","17","40","49.9","5","33","30","0.11","5","0","25","100","45.9","0","1","0","676"
"Kevin Bonifazi","defender","Bologna","fb77bfef","25","2021","73","0.67","-0.7","14.5","0.7","0.08","81","4146","-0.8","51","3","0.89","9","1","0.15","92.9","5","41","0","95","10","81","16","4","35.4","8","18","20","-0.16","4","1","15","97","65.4","1","0","0","625"
"Kevin De Bruyne","midfielder","Manchester City","e46012d4","30","2021","91","3.19","9.3","19.2","5.7","0.07","74.6","5365","-2.4","204","180","6.22","105","5","0.57","32.4","29","38","0","25","107","56.4","85","175","64.4","16","64","22","1.41","2","0","21","114","37.9","0","1","0","900"
"Kevin Kampl","midfielder","RB Leipzig","b825a650","30","2021","80","0.38","-0.4","21.3","0.4","0.05","91","5448","-0.9","147","8","1.89","37","0","0.19","23.8","18","65","0","38","11","66.7","31","35","62.1","10","38","23","0.75","4","0","36","155","40","0","1","0","900"
"Kevin Lasagna","midfielder","Hellas Verona","09538fdb","28","2021","73","3.12","-1.3","16.7","3.3","0.08","65.6","657","1.9","28","10","2.82","26","1","0.53","26.7","17","16","0","11","63","52.6","13","104","34.6","4","20","25","0.03","1","0","19","45","38.8","0","1","0","784"
"Kevin Long","defender","Burnley","5a4280b1","30","2021","71","0.88","-0.2","13.3","0.2","0.04","77.5","601","0","4","0","0.22","1","0","0","50","1","4","0","25","7","0","0","0","12","4","3","7","-0.65","1","0","4","11","63.2","1","0","0","900"
"Kevin Strootman","midfielder","Cagliari","ef2e5e1a","31","2021","73","0.14","0","14","0","0.01","80.7","1706","-0.2","38","2","0.84","5","0","0","41.7","6","18","0","25","3","80","5","6","18.7","2","9","14","-0.3","4","0","10","42","45.5","0","1","0","961"
"Kevin Vogt","defender","Hoffenheim","1d8e9add","29","2021","76","0.11","0","30.6","0","0.01","88","15815","1.7","150","4","1.19","33","0","0.18","52.4","11","34","1","242","0","66.7","12","5","84","27","48","52","0.06","7","0","27","214","51.1","1","0","0","841"
"Kevin Volland","midfielder","Monaco","64f69877","29","2021","82","1.85","1.4","13.5","7.4","0.13","66.1","2301","2.1","102","21","2.55","58","1","0.63","19.4","25","27","0","6","117","47.4","22","203","71.2","10","51","27","0.64","10","0","53","89","32.2","0","1","0","841"
"Kieran Trippier","midfielder","AtlГ©tico Madrid","21512407","30","2021","84","0.18","-0.1","18.9","0.1","0.05","77.8","4042","-0.3","80","33","2.03","17","0","0","57.1","12","32","0","23","6","58.3","15","70","28.5","7","13","13","0.45","1","0","14","54","68.3","0","1","0","900"
"Kingsley Coman","forward","Bayern Munich","042e8a49","25","2021","86","3.05","2","17.2","4","0.09","77.4","1828","-1","55","79","3.51","42","3","0.33","31.3","14","22","0","11","110","56.5","40","233","44.4","3","38","17","1.4","1","1","9","78","39.1","0","0","1","625"
"Koffi Djidji","defender","Torino","933d3b51","28","2021","71","0.52","-0.6","17.8","0.6","0.06","82.5","3859","0","57","17","0.78","15","0","0.1","77.8","6","82","0","79","10","61.5","16","11","50.7","13","24","19","0.31","6","1","25","113","52.3","1","0","0","784"
"Koke","midfielder","AtlГ©tico Madrid","55126f3b","29","2021","83","0.43","0","26.2","1","0.08","84.9","7036","0.5","197","33","2.4","59","1","0.39","41.3","28","79","1","47","27","72.2","40","53","73.3","23","50","34","0.64","6","0","29","169","31.6","0","1","0","841"
"Konrad Laimer","midfielder","RB Leipzig","c1b7847c","24","2021","83","1.09","1.6","18.3","2.4","0.16","79","2331","1.6","64","14","2.47","28","3","0.51","45.3","23","42","0","17","30","71","27","53","40.5","1","38","20","0.51","2","0","37","96","50","0","1","0","576"
"Kurt Zouma","defender","West Ham","ce4246f5","26","2021","80","0.26","-0.1","6.1","1.1","0.19","87.6","5514","-0.1","33","1","0.39","6","0","0","57.1","4","45","0","245","15","33.3","6","2","60.8","22","33","29","-0.18","1","0","11","92","61.7","1","0","0","676"
"Kyle Walker","defender","Manchester City","86dd77d1","31","2021","85","0.41","-0.3","23.7","0.3","0.03","88.6","7085","0.7","146","35","2.31","40","0","0.21","47.1","12","29","1","39","23","50","36","65","51.3","19","42","14","1.59","1","0","7","104","54.3","1","0","0","961"
"Kyle Walker-Peters","defender","Southampton","984a5a64","24","2021","78","0.89","-0.1","18.6","1.1","0.04","78.3","5790","-0.7","147","50","2.39","49","9","0.31","68.4","42","94","1","86","76","67.4","92","165","77","27","33","49","-0.37","5","0","27","187","49.1","1","0","0","576"
"Kylian MbappГ©","forward","Paris S-G","42fd9c7f","22","2021","86","4.26","3.3","16.9","23.8","0.14","79.4","2996","4.4","107","68","5.39","115","30","1.19","53.8","28","16","0","17","299","54.6","122","449","88.4","24","85","30","1.08","10","0","28","63","28.6","0","0","1","484"
"KГ©vin Gameiro","forward","Strasbourg","42276181","34","2021","77","2.45","-0.9","14.2","13.3","0.17","78.3","1157","0","62","16","2.53","57","0","0.34","33.3","28","25","0","2","152","44.7","43","225","69.7","10","39","30","0.28","0","0","16","81","17.2","0","0","1","1156"
"KГ©vin N'Doram","midfielder","Metz","e50623a0","25","2021","67","0.51","-1.1","16.6","1.1","0.15","83.9","2626","-0.4","63","2","1.68","21","0","0.15","15","6","29","0","33","7","50","1","6","36.1","7","13","28","-0.94","5","0","22","66","57.7","0","1","0","625"
"KГ©vin Rodrigues","midfielder","Rayo Vallecano","f1bed920","27","2021","75","0.83","-0.1","26.9","0.1","0.02","70.7","1025","-0.1","16","10","1.65","5","0","0","60","5","22","0","12","2","50","8","11","12.7","1","3","13","-0.69","0","0","5","33","55.6","0","1","0","729"
"Lars Stindl","midfielder","M'Gladbach","7cd6badb","32","2021","79","2.27","-0.7","18.6","6.3","0.11","81.4","2379","1.4","87","14","3.54","53","1","0.39","27.3","19","33","0","16","53","60","17","96","53.2","7","29","23","0.09","10","0","30","104","28.9","0","1","0","1024"
"Leon Bailey","forward","Aston Villa","3a233281","23","2021","80","2.48","-0.5","19.4","1.5","0.07","66.4","518","1.2","24","33","2.37","15","1","0.12","46.2","8","18","0","3","35","44.8","14","61","22.3","3","12","13","0.48","3","0","12","38","38.5","0","0","1","529"
"Leon Goretzka","midfielder","Bayern Munich","cc86b9a3","26","2021","87","2.9","-1.1","17.7","4.1","0.09","82.9","3541","0.7","98","9","4.38","57","1","0.58","42.3","16","42","2","27","57","71.4","21","71","45.6","8","43","17","1.48","0","0","15","108","67.4","0","1","0","676"
"Leonardo Bonucci","defender","Juventus","52ec54d0","34","2021","84","0.63","-0.3","10.7","4.7","0.17","86.3","11106","-0.7","66","3","0.81","17","0","0.09","61.5","5","40","0","285","24","57.1","3","0","58.6","21","32","28","0.23","1","0","17","95","55.7","1","0","0","1156"
"Leonardo Pavoletti","forward","Cagliari","d37b0350","32","2021","73","2.13","-1.6","10.6","6.6","0.18","64.3","668","-0.1","25","3","1.6","21","2","0.18","33.3","7","12","0","19","89","60","5","82","44.4","5","14","30","-0.38","9","0","45","50","51","0","0","1","1024"
"Leonardo Spinazzola","defender","Roma","3626daea","28","2021","82","1.42","0","25","0","0.02","85.1","299","-0.1","4","4","3.54","4","1","0","0","2","0","0","5","2","37.5","0","10","3.7","0","3","1","1.44","1","0","1","8","0","1","0","0","784"
"Leroy SanГ©","forward","Bayern Munich","2b114be3","25","2021","84","4.05","-4.4","20.8","11.4","0.13","82.4","2731","0.8","117","38","5.1","78","12","0.64","37.5","15","40","1","7","125","52.6","68","203","64.6","8","68","21","1.99","3","0","25","106","22.2","0","0","1","625"
"Levin Г–ztunalД±","midfielder","Union Berlin","66385c46","25","2021","71","1.1","-0.7","20.7","0.7","0.1","67.6","574","-0.4","18","12","2.05","10","0","0","41.2","7","18","0","15","14","44.4","6","37","18.7","0","6","11","0.36","0","0","15","40","40.7","0","1","0","625"
"Lewis Dunk","defender","Brighton","282f75f3","29","2021","79","0.66","-0.3","10.8","1.3","0.07","88.2","11690","-0.4","83","3","0.7","16","0","0.1","45.5","4","37","3","281","37","100","7","3","75.2","28","32","32","0.08","3","1","9","170","68.6","1","0","0","841"
"Lionel Messi","forward","Paris S-G","d70ce98e","34","2021","87","3.72","-4","19.1","10","0.11","84.5","7365","5.2","291","32","6.52","113","16","1.13","23.1","31","14","0","1","105","64.6","120","125","63","22","54","23","1.06","0","0","6","55","57.1","0","0","1","1156"
"Lorenzo De Silvestri","defender","Bologna","e74f0e59","33","2021","76","0.63","1.2","11.2","1.8","0.11","73.2","7494","-0.4","121","57","1.8","32","0","0.08","29","32","49","0","88","42","33.3","29","75","67.1","18","30","44","-0.24","7","0","28","97","62","1","0","0","1089"
"Lorenzo Insigne","forward","Napoli","2f557579","30","2021","84","3.18","-2.9","22.8","15.3","0.06","80.1","4831","2.4","150","90","4.72","80","7","0.63","18.2","17","43","1","13","116","51.3","78","208","67","4","51","21","0.68","2","0","20","142","35.7","0","0","1","900"
"Lorenzo Pellegrini","midfielder","Roma","4a5a45c7","25","2021","84","3.5","0.6","19.8","8.9","0.07","70.2","4796","-4","136","172","5.47","62","11","0.43","26.7","32","62","0","23","117","47.3","51","181","66.9","15","40","30","0.8","8","1","46","126","39.5","0","1","0","625"
"Lorenzo Tonelli","defender","Empoli","8cc29864","31","2021","72","0.72","-0.4","11.8","0.4","0.06","82.7","4197","-0.3","43","1","1.45","11","0","0.1","46.2","7","36","2","87","11","80","1","3","25.4","7","14","19","-0.57","4","0","9","54","59.6","1","0","0","961"
"Lucas Alario","forward","Leverkusen","834d0be5","28","2021","78","3.02","0.8","11.7","6","0.24","67.3","257","-1","10","1","3.69","17","6","0.55","40","9","7","0","6","43","85.7","5","44","21.4","3","17","9","1.13","2","0","8","13","45.2","0","0","1","784"
"Lucas Digne","defender","Aston Villa","1b84dbe1","28","2021","82","0.64","-0.5","18","0.5","0.06","75.1","3799","1.8","48","101","3.75","37","1","0.57","47.4","21","36","0","63","21","23.1","28","121","37.1","13","21","20","-0.08","2","0","18","77","53.5","1","0","0","784"
"Lucas HernГЎndez","defender","Bayern Munich","c3ee18ef","25","2021","84","0.18","-0.4","10.4","0.4","0.11","89.4","11842","0.6","193","9","1.2","23","1","0.18","61.9","12","78","1","121","13","68","47","32","66.3","14","67","27","1.7","7","0","22","179","62.5","1","0","0","625"
