"Player","Pos","Squad","id","Age","Season","RATING","Gls","SoT%","Cmp","Cmp%","Ast","Tkl","Tkl%","Clr","Att.5","Succ%","Min","PPM","CrdY","CrdR","Fls","Won%","def","mid","forw","Age^2"
"Kurt Zouma","defender","West Ham","ce4246f5","26","2021","80","1","33.3","875","87.6","0","11","57.1","132","3","33.3","2078","1.5","1","0","11","61.7","1","0","0","676"
"Kyle Walker","defender","Manchester City","86dd77d1","31","2021","85","0","25","1478","88.6","2","15","47.1","16","14","50","1755","2.2","1","0","7","54.3","1","0","0","961"
"Kyle Walker-Peters","defender","Southampton","984a5a64","24","2021","78","1","26.9","1071","78.3","2","57","68.4","53","95","67.4","2633","1","5","0","27","49.1","1","0","0","576"
"Kylian MbappГ©","forward","Paris S-G","42fd9c7f","22","2021","86","28","41.3","1139","79.4","17","11","53.8","13","205","54.6","3023","2.34","10","0","28","28.6","0","0","1","484"
"KГ©vin Gameiro","forward","Strasbourg","42276181","34","2021","77","11","38.5","628","78.3","3","19","33.3","1","38","44.7","2385","1.6","0","0","16","17.2","0","0","1","1156"
"KГ©vin N'Doram","midfielder","Metz","e50623a0","25","2021","67","0","14.3","437","83.9","0","10","15","21","10","50","1235","0.68","5","0","22","57.7","0","1","0","625"
"KГ©vin Rodrigues","midfielder","Rayo Vallecano","f1bed920","27","2021","75","0","0","162","70.7","0","15","60","6","4","50","435","1.31","0","0","5","55.6","0","1","0","729"
"Lars Stindl","midfielder","M'Gladbach","7cd6badb","32","2021","79","4","34.1","665","81.4","5","23","27.3","14","15","60","1629","1.42","10","0","30","28.9","0","1","0","1024"
"Leon Bailey","forward","Aston Villa","3a233281","23","2021","80","1","38.1","150","66.4","2","17","46.2","2","29","44.8","761","0.89","3","0","12","38.5","0","0","1","529"
"Leon Goretzka","midfielder","Bayern Munich","cc86b9a3","26","2021","87","3","26.7","708","82.9","3","25","42.3","23","14","71.4","1396","2.21","0","0","15","67.4","0","1","0","676"
"Leonardo Bonucci","defender","Juventus","52ec54d0","34","2021","84","5","21.4","1136","86.3","0","14","61.5","82","7","57.1","2005","1.54","1","0","17","55.7","1","0","0","1156"
"Leonardo Pavoletti","forward","Cagliari","d37b0350","32","2021","73","5","30.6","313","64.3","1","10","33.3","12","10","60","1518","0.79","9","0","45","51","0","0","1","1024"
"Leonardo Spinazzola","defender","Roma","3626daea","28","2021","82","0","0","63","85.1","0","0","0","3","8","37.5","127","1.33","1","0","1","0","1","0","0","784"
"Leroy SanГ©","forward","Bayern Munich","2b114be3","25","2021","84","7","36","821","82.4","7","28","37.5","2","116","52.6","1976","2.38","3","0","25","22.2","0","0","1","625"
"Levin Г–ztunalД±","midfielder","Union Berlin","66385c46","25","2021","71","0","28.6","117","67.6","0","14","41.2","12","9","44.4","572","1.39","0","0","15","40.7","0","1","0","625"
"Lewis Dunk","defender","Brighton","282f75f3","29","2021","79","1","36.8","1726","88.2","0","10","45.5","113","4","100","2573","1.38","3","1","9","68.6","1","0","0","841"
"Lionel Messi","forward","Paris S-G","d70ce98e","34","2021","87","6","32.6","1400","84.5","14","10","23.1","0","99","64.6","2153","2.12","0","0","6","57.1","0","0","1","1156"
"Lorenzo De Silvestri","defender","Bologna","e74f0e59","33","2021","76","3","43.8","990","73.2","2","23","29","52","18","33.3","2294","1.23","7","0","28","62","1","0","0","1089"
"Lorenzo Insigne","forward","Napoli","2f557579","30","2021","84","11","29.6","1208","80.1","8","23","18.2","3","80","51.3","2290","2.16","2","0","20","35.7","0","0","1","900"
"Lorenzo Pellegrini","midfielder","Roma","4a5a45c7","25","2021","84","9","31.5","776","70.2","3","35","26.7","20","91","47.3","2289","1.64","8","1","46","39.5","0","1","0","625"
"Lorenzo Tonelli","defender","Empoli","8cc29864","31","2021","72","0","42.9","463","82.7","0","17","46.2","28","5","80","870","1.21","4","0","9","59.6","1","0","0","961"
"Lucas Alario","forward","Leverkusen","834d0be5","28","2021","78","6","59.1","115","67.3","0","6","40","6","14","85.7","655","1.74","2","0","8","45.2","0","0","1","784"
"Lucas Digne","defender","Aston Villa","1b84dbe1","28","2021","82","0","22.2","629","75.1","4","13","47.4","40","13","23.1","1269","1.19","2","0","18","53.5","1","0","0","784"
"Lucas HernГЎndez","defender","Bayern Munich","c3ee18ef","25","2021","84","0","25","1783","89.4","1","50","61.9","54","25","68","2030","2.36","7","0","22","62.5","1","0","0","625"
"Lucas HГ¶ler","forward","Freiburg","ca618d23","27","2021","73","7","43.3","614","67.3","2","41","46.4","39","47","44.7","2583","1.62","2","0","36","54.1","0","0","1","729"
"Lucas Ocampos","forward","Sevilla","a08b974a","27","2021","81","6","31.4","656","75.9","4","45","41.8","24","95","38.9","2125","1.73","7","0","45","47.4","0","0","1","729"
"Lucas Torreira","midfielder","Fiorentina","52611641","25","2021","81","5","44.8","1193","87.2","1","37","45","18","13","46.2","2195","1.52","10","1","38","40.9","0","1","0","625"
"Lucas Tousart","midfielder","Hertha BSC","71ec39ef","24","2021","75","2","30.4","515","71","0","42","29.4","55","38","57.9","1962","0.9","3","0","32","46.4","0","1","0","576"
"Lucas VГЎzquez","defender","Real Madrid","fd51b456","30","2021","81","3","27.8","1327","86.3","0","43","48.6","41","31","58.1","1833","2.24","3","0","26","18.2","1","0","0","900"
"Ludovic Blas","midfielder","Nantes","6191093d","23","2021","79","10","37.6","833","78.9","5","33","34.1","6","148","40.5","2961","1.46","10","0","45","37","0","1","0","529"
"Ludwig Augustinsson","midfielder","Sevilla","9fec8860","27","2021","77","0","50","437","79.3","1","18","61.5","21","2","100","793","1.95","3","0","13","68.2","0","1","0","729"
"Luis Alberto","midfielder","Lazio","5294a83f","28","2021","83","5","34","1626","82.5","9","29","15.4","7","44","61.4","2353","1.74","5","0","13","33.3","0","1","0","784"
"Luis Muriel","forward","Atalanta","eb2fe5b6","30","2021","82","9","29.1","541","71.7","8","15","15.8","5","104","59.6","1539","1.44","1","0","14","48.4","0","0","1","900"
"Luis SuГЎrez","forward","AtlГ©tico Madrid","a6154613","34","2021","84","11","45.1","363","72.3","2","8","20","14","23","26.1","1835","1.83","7","0","20","44.2","0","0","1","1156"
"Luiz Felipe","defender","Lazio","15d0c248","24","2021","79","0","20","1668","91.4","0","41","58.8","102","6","100","2491","1.61","9","1","28","50.6","1","0","0","576"
"Luka JoviД‡","forward","Real Madrid","4d8cd038","23","2021","79","1","25","52","77.6","3","1","0","4","6","50","369","2.07","1","0","3","46.7","0","0","1","529"
"Luka MilivojeviД‡","midfielder","Crystal Palace","2ce2508a","30","2021","74","0","0","400","81.1","0","18","62.5","15","2","100","774","1.33","1","0","15","68.4","0","1","0","900"
"Luka ModriД‡","midfielder","Real Madrid","6025fab1","35","2021","88","2","38.5","1500","87.9","8","18","22.2","9","48","66.7","2032","2.29","4","0","24","30","0","1","0","1225"
"Lukas Klostermann","defender","RB Leipzig","ca8033cb","25","2021","80","0","16.7","944","85.8","1","29","68.4","58","5","60","1648","1.83","1","0","9","67.6","1","0","0","625"
"Lukas KlГјnter","defender","Hertha BSC","92948149","25","2021","70","0","0","67","69.8","0","1","20","2","6","50","194","0.8","1","0","5","50","1","0","0","625"
"Lukas KГјbler","forward","Freiburg","2a29eb9b","28","2021","74","2","46.2","898","72.5","0","62","57.1","70","18","55.6","2327","1.69","2","0","24","48.1","0","0","1","784"
"Luke Shaw","defender","Manchester Utd","9c94165b","26","2021","80","0","16.7","944","79.1","3","21","57.1","22","14","50","1601","1.5","8","0","32","57.1","1","0","0","676"
"Lyanco","defender","Southampton","b5bf1770","24","2021","72","0","16.7","282","71","0","18","55.6","50","4","100","911","1.07","2","0","13","57.6","1","0","0","576"
"LГЎszlГі BГ©nes","midfielder","M'Gladbach","fe888e39","23","2021","73","0","71.4","138","73.8","0","5","16.7","5","3","33.3","246","1.31","0","0","1","83.3","0","1","0","529"
"M'Baye Niang","forward","Bordeaux","2054d037","26","2021","73","3","42.3","106","59.2","1","4","0","4","15","33.3","777","0.5","3","0","23","43.8","0","0","1","676"
"Mahmoud Dahoud","midfielder","Dortmund","db4ed67b","25","2021","80","2","18.2","833","78.4","3","42","43.5","16","41","63.4","1658","2","7","1","23","42.3","0","1","0","625"
"Makoto Hasebe","defender","Eint Frankfurt","9ab16552","37","2021","74","0","0","810","86.3","0","27","44.8","36","7","71.4","1187","1.11","1","0","13","41.7","1","0","0","1369"
"Mamadou Sakho","defender","Montpellier","87935cf3","31","2021","76","0","0","1408","89.2","0","34","61.5","134","5","80","2575","1.28","3","0","8","60.3","1","0","0","961"
"Manolo Gabbiadini","forward","Sampdoria","8f866fe8","29","2021","75","6","45.5","213","63","2","6","14.3","10","10","40","1140","0.94","3","0","12","33.3","0","0","1","841"
"Manuel Akanji","defender","Dortmund","89ac64a6","26","2021","81","1","23.1","1819","90.4","0","33","68.8","58","9","88.9","2261","2","3","0","19","59.3","1","0","0","676"
"Manuel Gulde","defender","Freiburg","25ab9c9c","30","2021","74","0","0","483","82.6","0","18","72.7","37","4","50","1225","1.65","2","0","17","62.5","1","0","0","900"
"Manuel Lanzini","midfielder","West Ham","26f6dca8","28","2021","79","5","30.8","1118","90.4","3","28","28.6","10","36","69.4","1786","1.3","2","0","11","22.7","0","1","0","784"
"Manuel Lazzari","defender","Lazio","02caf6e0","27","2021","79","3","50","859","84.7","3","28","61.5","16","58","50","1665","1.61","3","0","18","16.7","1","0","0","729"
"Manuel Locatelli","midfielder","Juventus","a8a874f1","23","2021","82","3","14.3","1221","85.1","3","44","44.7","33","28","67.9","2160","1.74","6","0","42","58.5","0","1","0","529"
"Marc Albrighton","forward","Leicester City","b827d5b3","31","2021","75","1","25","347","62.2","2","31","21.3","20","40","37.5","1132","1.35","3","0","6","23.5","0","0","1","961"
"Marc Roca","midfielder","Bayern Munich","da27e268","24","2021","76","0","0","252","87.2","0","9","25","4","6","50","379","2.44","0","0","10","0","0","1","0","576"
"Marcel Halstenberg","defender","RB Leipzig","8ff2354e","29","2021","78","1","20","361","87.2","0","10","54.5","11","8","87.5","507","2","0","0","4","80","1","0","0","841"
"Marcel Sabitzer","forward","Bayern Munich","e280527c","27","2021","80","1","30","576","80.9","1","18","47.4","10","7","57.1","905","2.16","0","0","16","55","0","0","1","729"
"Marcelo","defender","Real Madrid","603116a7","33","2021","72","0","37.5","385","82.6","2","8","50","11","10","90","525","2.25","0","0","3","42.9","1","0","0","1089"
"Marcelo","defender","Bordeaux","e3d0b0c4","34","2021","72","0","0","560","83.1","0","9","66.7","46","2","100","898","0.55","4","0","7","87.5","1","0","0","1156"
"Marcelo BrozoviД‡","midfielder","Inter","33b8d077","28","2021","86","2","40.6","2401","92.1","1","77","50","36","37","75.7","2937","2.34","7","0","43","35.1","0","1","0","784"
"Marco Asensio","forward","Real Madrid","45af8a54","25","2021","83","10","50","731","81.8","0","12","22.2","6","40","67.5","1731","2.39","2","0","8","0","0","0","1","625"
"Marco Reus","midfielder","Dortmund","36a3ff67","32","2021","85","9","43.1","1003","80.8","13","45","38.1","41","66","42.4","2503","2.1","2","0","22","25","0","1","0","1024"
"Marco Richter","forward","Hertha BSC","f972644c","23","2021","74","5","38.6","345","65.5","1","30","36.1","24","46","34.8","1704","1","6","0","30","21.4","0","0","1","529"
"Marco Verratti","midfielder","Paris S-G","1467af0d","28","2021","87","2","28.6","1957","91","2","60","50","14","57","80.7","1937","1.92","12","0","32","31.3","0","1","0","784"
"Marcos Alonso","defender","Chelsea","f4290206","30","2021","79","4","23.3","1142","76.9","4","41","47.2","53","35","42.9","2167","1.64","8","0","25","58.8","1","0","0","900"
"Marcos Llorente","forward","AtlГ©tico Madrid","02c15616","26","2021","84","0","12.5","1055","79.5","2","51","65.1","44","30","63.3","2447","1.93","5","0","30","43.9","0","0","1","676"
"Marcus Coco","midfielder","Nantes","3010aefb","25","2021","71","1","25","224","68.9","1","34","44.4","15","26","53.8","930","1.42","3","1","21","49.2","0","1","0","625"
"Marcus Rashford","forward","Manchester Utd","a1d5bd30","23","2021","81","4","54.5","304","71.7","2","6","15.4","5","53","41.5","1235","1.36","2","0","13","27","0","0","1","529"
"Marcus Thuram","forward","M'Gladbach","6f8cd6d0","23","2021","78","3","34.4","160","71.4","0","6","25","5","36","63.9","979","1.38","2","0","12","59.3","0","0","1","529"
"Mariano","forward","Real Madrid","5c4dc0ff","27","2021","74","1","21.4","42","68.9","1","2","0","3","10","60","342","2.11","2","0","2","69.2","0","0","1","729"
"Marius Wolf","midfielder","Dortmund","fa661778","26","2021","77","3","50","554","76.6","1","26","50","8","31","41.9","1321","2","4","0","17","33.3","0","1","0","676"
"Mark Uth","midfielder","KГ¶ln","a3ddb1b9","29","2021","76","5","28.6","520","68.5","8","32","30.6","13","62","40.3","2025","1.5","3","0","34","41.5","0","1","0","841"
"Marko Rog","midfielder","Cagliari","b6b2b820","26","2021","72","0","14.3","122","80.3","1","5","12.5","3","9","44.4","311","0.63","0","0","11","44.4","0","1","0","676"
"Marquinhos","defender","Paris S-G","d5f2f82b","27","2021","67","5","33.3","2241","93.1","0","37","57.1","102","6","66.7","2861","2.13","5","0","6","51.3","1","0","0","729"
"Marten de Roon","forward","Atalanta","2a1beb34","30","2021","80","3","21.7","1434","84.9","0","69","54.8","41","10","50","2548","1.67","7","1","50","60.5","0","0","1","900"
"Martin Braithwaite","forward","Barcelona","fd771f95","30","2021","76","2","42.9","44","78.6","1","1","0","1","3","66.7","235","2.5","0","0","5","33.3","0","0","1","900"
"Martin Terrier","forward","Rennes","5148dcc5","24","2021","81","21","51.2","757","78.9","3","55","58.1","17","59","47.5","2779","1.78","1","0","28","45.1","0","0","1","576"
"Marvin Plattenhardt","defender","Hertha BSC","f7aa75bd","29","2021","74","0","14.3","650","69.1","3","25","55.6","52","12","66.7","1637","1.33","3","0","14","53.3","1","0","0","841"
"Mason Holgate","defender","Everton","d0042ab9","24","2021","75","2","28.6","584","66.7","1","35","42.3","95","4","50","2134","1.08","7","1","26","66.3","1","0","0","576"
"Mateo KovaДЌiД‡","midfielder","Chelsea","79c0821a","27","2021","84","2","27.3","1061","88.2","5","51","48.6","9","51","74.5","1558","2.04","4","0","24","50","0","1","0","729"
"MathГ­as Olivera","defender","Getafe","41c12f75","23","2021","77","1","29.2","1017","71.1","3","79","58","67","54","50","2803","1.06","10","0","55","50","1","0","0","529"
"Matija NastasiД‡","defender","Fiorentina","f35430a4","28","2021","74","0","100","143","92.9","0","1","100","11","0","0","219","0.8","1","0","2","75","1","0","0","784"
"Mats Hummels","defender","Dortmund","05d548d8","32","2021","84","1","25","1333","87.1","2","34","55.6","66","8","75","1765","2.09","4","0","16","65.3","1","0","0","1024"
"Matt Ritchie","defender","Newcastle Utd","71ef519e","31","2021","73","0","10","510","71.4","2","22","37","26","6","66.7","1337","0.67","5","0","13","45.2","1","0","0","961"
"Matt Targett","defender","Aston Villa","e514ab62","25","2021","77","1","28.6","592","71.9","1","34","53.3","35","6","16.7","1431","0.94","2","0","15","69.6","1","0","0","625"
"Matteo Darmian","defender","Inter","96e0490d","31","2021","80","2","50","534","79.6","1","32","39","25","9","44.4","1507","2.04","4","0","23","78.3","1","0","0","961"
"Matthew Lowton","defender","Burnley","9a9c05db","32","2021","74","1","20","599","67.5","2","38","54.1","68","21","47.6","1772","1","3","1","13","61","1","0","0","1024"
"Matthias Ginter","defender","M'Gladbach","f521b80a","27","2021","82","1","45.2","1451","82.5","0","36","67.5","76","10","60","2355","1.43","2","0","9","62.7","1","0","0","729"
"Mattia De Sciglio","defender","Juventus","ae4e2852","28","2021","76","1","33.3","541","79.4","2","24","45.8","30","15","60","1168","1.65","2","1","15","66.7","1","0","0","784"
"Mattia Destro","forward","Genoa","d7d32194","30","2021","75","9","37","196","57.6","1","9","16.7","16","26","42.3","1744","0.93","4","0","40","36","0","0","1","900"
"Mauro Arambarri","midfielder","Getafe","58afe001","25","2021","80","0","21.6","933","73.7","5","62","29.4","18","50","64","2663","1.23","13","0","51","50.9","0","1","0","625"
"Mauro Icardi","forward","Paris S-G","43b78598","28","2021","77","4","32.1","120","78.4","0","5","42.9","12","9","22.2","1027","2.17","1","0","14","35.7","0","0","1","784"
"Maxime Gonalons","midfielder","Granada","b8c1de25","32","2021","76","0","18.2","550","83.7","2","43","35.9","29","21","66.7","1550","1","6","0","29","67.3","0","1","0","1024"
"Maxime Lopez","midfielder","Sassuolo","20094685","23","2021","78","2","37.5","2357","90.7","1","69","40.2","38","46","65.2","2938","1.34","14","0","37","53.8","0","1","0","529"
"Maximilian Arnold","midfielder","Wolfsburg","86e119e0","27","2021","80","4","38.5","1453","77.7","2","37","40","55","14","85.7","2994","1.24","4","0","47","54.1","0","1","0","729"
"Maximilian Eggestein","midfielder","Freiburg","beb882a8","24","2021","75","1","26.1","690","73.2","2","48","44","32","19","36.8","2194","1.65","2","0","32","47.4","0","1","0","576"
"Maximilian MittelstГ¤dt","midfielder","Hertha BSC","88d4144a","24","2021","74","0","0","526","67.4","5","52","52","37","49","65.3","1493","1.08","3","0","20","46","0","1","0","576"
"Maxwel Cornet","forward","Burnley","beb391dd","24","2021","78","9","47.8","281","64.3","1","16","46.7","14","38","34.2","1766","0.81","2","0","20","34.8","0","0","1","576"
"Maya Yoshida","defender","Sampdoria","caffaf5a","32","2021","73","2","44.4","814","84.3","3","17","53.3","72","2","100","1823","0.81","2","0","20","62.9","1","0","0","1024"
"Mexer","defender","Bordeaux","ce492295","32","2021","70","1","20","579","83.7","0","14","64.7","60","5","60","1227","0.94","2","0","4","46.8","1","0","0","1024"
"Michael Keane","defender","Everton","c5b7c315","28","2021","79","3","30","927","76.4","2","46","62.2","128","8","87.5","2792","1.09","4","1","16","61.9","1","0","0","784"
"Michail Antonio","forward","West Ham","ac05f970","31","2021","79","10","32.9","438","62.4","8","23","38.9","13","93","53.8","2971","1.56","8","1","50","41.4","0","0","1","961"
"Mijat GaД‡inoviД‡","forward","Hoffenheim","16daec92","26","2021","73","0","0","39","73.6","0","3","100","2","3","100","110","1","1","0","4","50","0","0","1","676"
"Milan Badelj","midfielder","Genoa","e8c930bb","32","2021","73","1","23.8","1230","78.1","0","64","42.5","43","50","68","2844","0.74","4","0","39","54.8","0","1","0","1024"
"Milan Е kriniar","defender","Inter","30f5ffa9","26","2021","86","3","28","1982","92.9","0","47","57.1","90","13","92.3","3150","2.2","3","0","43","49.5","1","0","0","676"
"Milot Rashica","forward","Norwich City","6c6a3300","25","2021","74","1","38.6","363","60.3","2","31","36.7","23","73","21.9","2229","0.65","0","0","23","30","0","0","1","625"
"Mohamed Fares","midfielder","Genoa","b7a5bc86","25","2021","72","2","23.1","177","68.9","1","4","0","11","16","56.3","587","0.78","2","0","10","39.1","0","1","0","625"
"Mohamed Salah","forward","Liverpool","e342ad68","29","2021","90","23","36.8","875","77","13","17","31.6","5","124","42.7","2762","2.37","1","0","12","17.5","0","0","1","841"
"Moise Kean","forward","Juventus","3d50bcdb","21","2021","78","5","35.7","174","76.3","2","9","37.5","8","44","40.9","1098","2.03","5","0","20","59.5","0","0","1","441"
"Morgan Sanson","midfielder","Aston Villa","6e7f1353","26","2021","76","0","0","123","75.9","0","12","42.9","2","16","81.3","356","1.3","0","0","3","33.3","0","1","0","676"
"Morgan Schneiderlin","midfielder","Nice","51b41c5c","31","2021","74","0","0","344","85.1","1","21","46.2","18","4","100","649","1.65","1","1","15","60","0","1","0","961"
"Mouctar Diakhaby","defender","Valencia","d2110326","24","2021","73","0","25","540","74.4","1","35","56.5","87","19","68.4","1948","1.31","11","0","26","53.2","1","0","0","576"
"Moussa Sissoko","midfielder","Watford","2acd49b9","31","2021","77","2","32","922","77.6","1","53","66.7","64","76","68.4","3220","0.56","5","0","35","55.2","0","1","0","961"
"Myziane Maolida","forward","Hertha BSC","706a60e1","22","2021","71","1","21.4","155","67.7","1","7","33.3","6","31","38.7","776","1.07","0","0","10","40","0","0","1","484"
"N'Golo KantГ©","midfielder","Chelsea","b9fbae28","30","2021","89","2","52.9","1121","85.7","4","59","62.5","8","48","72.9","1773","1.92","2","0","22","50","0","1","0","900"
"Nabil Fekir","midfielder","Betis","bece776f","28","2021","85","6","38.1","1207","80.1","8","43","19.4","7","123","66.7","2794","1.71","7","1","65","35.1","0","1","0","784"
"Naby KeГЇta","midfielder","Liverpool","f25c8e3a","26","2021","81","3","26.9","643","84.9","1","46","61.9","8","24","62.5","1173","2.43","3","0","21","28.6","0","1","0","676"
"Nadiem Amiri","midfielder","Leverkusen","555d5edd","24","2021","76","1","25","183","82.4","0","8","50","0","12","25","369","2","0","0","2","25","0","1","0","576"
"Nampalys Mendy","midfielder","Leicester City","1598599e","29","2021","74","0","100","593","91.9","0","12","35.3","11","4","100","1032","1.57","3","0","17","35.7","0","1","0","841"
"Nathan AkГ©","defender","Manchester City","eaeca114","26","2021","78","2","40","796","90.7","0","16","75","23","2","0","923","2.64","0","0","9","75.5","1","0","0","676"
"Nathan Redmond","midfielder","Southampton","ab651565","27","2021","75","1","34.6","510","69.4","5","22","23.3","16","39","53.8","1833","0.93","0","0","16","28.9","0","1","0","729"
"Nemanja MaksimoviД‡","midfielder","Getafe","00b28772","26","2021","79","1","16.1","661","76.4","2","56","36.7","41","16","62.5","2936","0.97","5","0","13","52.8","0","1","0","676"
"Nemanja MatiД‡","midfielder","Manchester Utd","eb7822d7","32","2021","79","0","16.7","911","86.5","4","31","48.4","21","22","77.3","1382","1.48","3","0","26","62.2","0","1","0","1024"
"Nico Elvedi","defender","M'Gladbach","48035304","24","2021","77","1","7.7","1615","92.1","0","40","61.1","83","7","85.7","2430","1.21","3","1","21","65.5","1","0","0","576"
"Nico Schulz","defender","Dortmund","fa274d97","28","2021","74","0","66.7","544","83.1","2","21","42.9","8","16","31.3","836","2.13","2","0","13","50","1","0","0","784"
"Nicola Murru","defender","Sampdoria","d183e9d6","26","2021","72","1","33.3","303","65.9","0","22","61.5","20","9","44.4","983","0.64","5","0","22","61.1","1","0","0","676"
"Nicola Sansone","forward","Bologna","7eb97a8e","29","2021","75","2","25","236","70.2","3","13","20","2","34","41.2","896","1.22","6","0","16","28","0","0","1","841"
"Nicolas Cozza","defender","Montpellier","8f325097","22","2021","74","2","50","1115","81","2","80","53.8","82","33","54.5","2770","1.09","2","1","24","53.3","1","0","0","484"
"Nicolas HГ¶fler","midfielder","Freiburg","5d8e331f","31","2021","75","2","33.3","986","82.9","4","73","45.2","42","30","76.7","2600","1.7","5","0","47","57.1","0","1","0","961"
"Nicolas Pallois","defender","Nantes","779847d6","33","2021","77","1","25","906","79.5","0","51","57.6","116","9","100","2447","1.5","8","1","17","64.3","1","0","0","1089"
"Nicolas PГ©pГ©","forward","Arsenal","57e3f0c7","26","2021","79","1","30.4","283","77.5","2","8","33.3","2","44","43.2","696","1.9","0","0","8","36.7","0","0","1","676"
"NicolГІ Barella","midfielder","Inter","6928979a","24","2021","86","3","17.6","1554","82.8","11","63","52.7","8","64","57.8","2913","2.17","9","0","30","47.8","0","1","0","576"
"Niklas Stark","defender","Hertha BSC","aad48be9","26","2021","75","1","36.4","829","82.2","0","28","70.6","122","7","100","2031","1.15","3","0","19","59.8","1","0","0","676"
"Niklas SГјle","defender","Bayern Munich","e33c06cf","25","2021","85","1","37.5","1586","89.8","2","29","75","49","13","61.5","1837","2.29","2","0","10","76.9","1","0","0","625"
"Nikola KaliniД‡","forward","Hellas Verona","d4931a5a","33","2021","74","4","30.8","85","81.7","1","2","50","2","4","50","406","1.57","5","1","15","30","0","0","1","1089"
"Nikola MilenkoviД‡","defender","Fiorentina","bee704fc","23","2021","80","1","39.1","1877","89.5","0","54","85.3","94","2","100","2926","1.56","10","1","48","75.4","1","0","0","529"
"Nils Petersen","forward","Freiburg","f93e6e94","32","2021","74","5","35.7","83","60.6","1","5","7.7","17","5","100","580","1.68","0","0","2","29.1","0","0","1","1024"
"Noah Joel Sarenren Bazee","midfielder","Augsburg","fbbc8e15","24","2021","70","1","42.9","30","58.8","0","5","75","4","10","30","241","0.93","1","0","6","36.4","0","1","0","576"
"Nordi Mukiele","midfielder","RB Leipzig","ac73ec79","23","2021","79","1","31.8","851","74.2","3","35","51.9","44","40","50","1842","1.64","3","0","19","67.1","0","1","0","529"
"Oleksandr Zinchenko","defender","Manchester City","51cf8561","24","2021","79","0","33.3","953","88.8","4","20","55","15","12","58.3","1047","2.67","0","0","11","48.4","1","0","0","576"
"Olivier Giroud","forward","Milan","16ceb862","34","2021","82","11","36.1","321","66.9","3","15","17.6","19","8","50","1892","2.34","4","0","31","64.3","0","0","1","1156"
"Ondrej Duda","midfielder","KГ¶ln","79ca3e23","26","2021","73","2","33.3","491","72.4","0","23","26.1","9","66","56.1","1611","1.48","5","0","41","43.2","0","1","0","676"
"Oriol Romeu","midfielder","Southampton","4b511457","29","2021","78","2","16.7","1377","81.4","2","77","38.4","43","40","75","2889","1.08","9","0","46","58.8","0","1","0","841"
"OtГЎvio","midfielder","Bordeaux","243f4a0b","27","2021","82","0","25","635","88.4","0","36","41","11","10","60","1147","0.81","3","0","20","33.3","0","1","0","729"
"Ousmane DembГ©lГ©","forward","Barcelona","b19db005","24","2021","83","1","15.2","601","72.9","13","24","30.4","3","90","65.6","1409","2.05","3","0","11","44.4","0","0","1","576"
"Pablo Sarabia","forward","Paris S-G","9744ff80","29","2021","81","1","100","13","65","0","0","0","0","1","100","22","3","1","0","1","0","0","0","1","841"
"Pascal GroГџ","forward","Brighton","8aec0537","30","2021","77","2","30.4","1012","75.2","4","28","36.4","23","18","50","2038","1.34","1","0","15","41.7","0","0","1","900"
"Patric","defender","Lazio","f7223718","28","2021","75","1","33.3","1353","93.2","1","21","45","44","2","100","1649","1.8","7","1","24","34.7","1","0","0","784"
"Patrick Cutrone","forward","Empoli","a4fe8cda","23","2021","72","3","28","161","64.9","0","5","11.1","1","18","50","1401","1.14","1","0","13","23.1","0","0","1","529"
"Patrick Herrmann","midfielder","M'Gladbach","dfb6490a","30","2021","73","0","30.8","254","68.6","4","15","37.5","8","13","69.2","754","1.22","1","0","7","36.4","0","1","0","900"
"Patrik Schick","forward","Leverkusen","5d4f7d61","25","2021","85","24","48.9","282","68.3","3","5","11.1","28","41","36.6","2076","1.96","0","0","13","43","0","0","1","625"
"Paul Dummett","defender","Newcastle Utd","3fe6bd8c","29","2021","73","0","0","51","69.9","0","7","62.5","5","0","0","198","2.33","2","0","3","71.4","1","0","0","841"
"Paul Pogba","midfielder","Manchester Utd","867239d3","28","2021","85","1","25","736","82.4","9","13","21.4","16","54","72.2","1349","1.5","7","1","39","63.6","0","1","0","784"
"Paulo Dybala","forward","Juventus","e0921a4f","27","2021","86","10","37.1","912","80.2","5","30","22.9","4","79","59.5","2061","1.59","3","0","16","34.5","0","0","1","729"
"Pavel KadeЕ™ГЎbek","forward","Hoffenheim","79c90e45","29","2021","77","1","18.2","501","72.6","2","11","31.3","22","4","25","1195","1.53","5","0","16","58.8","0","0","1","841"
"Pedro","forward","Lazio","3ca7254a","34","2021","64","9","55.6","785","83.9","4","36","34","8","57","54.4","2033","1.66","5","0","31","20","0","0","1","1156"
"Peter PekarГ­k","defender","Hertha BSC","c18d22f5","34","2021","73","0","30","921","76.9","0","45","69.6","58","14","42.9","2234","0.85","1","0","25","58.3","1","0","0","1156"
"Phil Foden","forward","Manchester City","ed1e53f3","21","2021","85","9","38.6","881","79.9","5","16","41.2","5","58","63.8","2128","2.43","1","0","15","15.6","0","0","1","441"
"Philipp Lienhart","defender","Freiburg","302527b2","25","2021","78","5","36.8","1491","84.9","0","24","54.2","158","5","80","2870","1.59","2","0","15","60","1","0","0","625"
"Pierre Lees-Melou","midfielder","Norwich City","f5044e54","28","2021","75","1","27.3","807","78.1","0","58","27.2","23","30","63.3","2265","0.55","5","0","35","48.3","0","1","0","784"
